Generation,Best CP,Best CO,Best Score,Mean Score,Routes
97,12.321772639691714,99.0,229423.5,270250.2631578947,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
98,12.321772639691714,99.0,229423.5,285745.7727272727,"[[10, 13, 14], [7, 15, 9], [6, 3, 2, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
99,11.950545921644187,101.0,226816.5,265398.3947368421,"[[11, 10, 14, 13], [2, 1], [2, 3, 6, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
100,11.950545921644187,101.0,226816.5,268300.8846153846,"[[11, 10, 14, 13], [2, 1], [2, 3, 6, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
101,11.950545921644187,101.0,226816.5,318350.0,"[[11, 10, 14, 13], [2, 1], [2, 3, 6, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
102,11.950545921644187,101.0,226816.5,282422.4512195122,"[[11, 10, 14, 13], [2, 1], [2, 3, 6, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
103,11.950545921644187,101.0,226816.5,279904.95,"[[11, 10, 14, 13], [2, 1], [2, 3, 6, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
104,11.908156711624919,101.0,226321.5,281231.63513513515,"[[10, 13, 14], [4, 2, 1], [2, 3, 6, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
105,11.908156711624919,101.0,226321.5,333081.20930232556,"[[10, 13, 14], [4, 2, 1], [2, 3, 6, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
106,11.908156711624919,101.0,226321.5,304945.23913043475,"[[10, 13, 14], [4, 2, 1], [2, 3, 6, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
107,11.908156711624919,101.0,226321.5,272076.3552631579,"[[10, 13, 14], [4, 2, 1], [2, 3, 6, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
108,11.908156711624919,101.0,226321.5,286031.902173913,"[[10, 13, 14], [4, 2, 1], [2, 3, 6, 4, 5], [12, 11, 10, 7, 15, 6, 3, 2, 1], [7, 15, 9], [10, 8, 6, 15, 7]]"
