Generation,Best CP,Best CO,Best CO_Score,Mean CO_Score,Routes
78,15.611432241490045,68.0,68.0,136.05882352941177,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
79,15.611432241490045,68.0,68.0,115.46938775510205,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
80,15.611432241490045,68.0,68.0,133.0408163265306,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
81,15.611432241490045,68.0,68.0,152.89795918367346,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
82,15.611432241490045,68.0,68.0,133.68,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
83,15.611432241490045,68.0,68.0,124.20408163265306,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
84,15.611432241490045,68.0,68.0,123.82222222222222,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
85,15.611432241490045,68.0,68.0,137.82,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
86,15.611432241490045,68.0,68.0,125.38775510204081,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
87,15.611432241490045,68.0,68.0,134.32,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
88,15.611432241490045,68.0,68.0,139.79591836734693,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
89,15.611432241490045,68.0,68.0,118.42857142857143,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
90,15.611432241490045,68.0,68.0,134.40425531914894,"[[4, 6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [2, 1], [15, 9]]"
91,16.45150931278099,67.0,67.0,120.24,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
92,16.45150931278099,67.0,67.0,123.14,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
93,16.45150931278099,67.0,67.0,127.18367346938776,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
94,16.45150931278099,67.0,67.0,129.82,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
95,16.45150931278099,67.0,67.0,109.62745098039215,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
96,16.45150931278099,67.0,67.0,138.58333333333334,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
97,16.45150931278099,67.0,67.0,111.59183673469387,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
98,16.45150931278099,67.0,67.0,119.75510204081633,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
99,16.45150931278099,67.0,67.0,152.1875,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
100,16.45150931278099,67.0,67.0,160.58333333333334,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
101,16.45150931278099,67.0,67.0,123.38,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
102,16.45150931278099,67.0,67.0,127.8936170212766,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
103,16.45150931278099,67.0,67.0,117.85714285714286,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
104,16.45150931278099,67.0,67.0,136.18,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
105,16.45150931278099,67.0,67.0,125.08333333333333,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
106,16.45150931278099,67.0,67.0,138.83333333333334,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
107,16.45150931278099,67.0,67.0,136.85714285714286,"[[6, 15, 7, 10, 14, 13, 11, 12], [8, 15], [4, 5], [6, 3, 2], [4, 2, 1], [15, 9]]"
